Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
41984,204.9,204.8984,0.001538,0.39 LSB,PASS
41985,204.9024,204.9023,0.000072,0.02 LSB,PASS
41986,204.9049,204.9062,0.001394,0.36 LSB,PASS
41987,204.9073,204.9062,0.001046,0.27 LSB,PASS
41988,204.9097,204.9102,0.00042,0.11 LSB,PASS
41989,204.9122,204.9141,0.001886,0.48 LSB,PASS
41990,204.9146,204.9141,0.000554,0.14 LSB,PASS
41991,204.9171,204.918,0.000912,0.23 LSB,PASS
41992,204.9195,204.918,0.001528,0.39 LSB,PASS
41993,204.9219,204.9219,0.000061,0.02 LSB,PASS
41994,204.9244,204.9258,0.001405,0.36 LSB,PASS
41995,204.9268,204.9258,0.001035,0.26 LSB,PASS
41996,204.9293,204.9297,0.000431,0.11 LSB,PASS
41997,204.9317,204.9336,0.001898,0.49 LSB,PASS
41998,204.9341,204.9336,0.000542,0.14 LSB,PASS
41999,204.9366,204.9375,0.000924,0.24 LSB,PASS
42000,204.939,204.9375,0.001515,0.39 LSB,PASS
42001,204.9415,204.9414,0.000049,0.01 LSB,PASS
42002,204.9439,204.9453,0.001418,0.36 LSB,PASS
42003,204.9463,204.9453,0.001022,0.26 LSB,PASS
42004,204.9488,204.9492,0.000445,0.11 LSB,PASS
42005,204.9512,204.9531,0.001911,0.49 LSB,PASS
42006,204.9537,204.9531,0.000528,0.14 LSB,PASS
42007,204.9561,204.957,0.000938,0.24 LSB,PASS
42008,204.9585,204.957,0.001501,0.38 LSB,PASS
42009,204.961,204.9609,0.000034,0.01 LSB,PASS
42010,204.9634,204.9648,0.001432,0.37 LSB,PASS
42011,204.9659,204.9648,0.001007,0.26 LSB,PASS
42012,204.9683,204.9688,0.00046,0.12 LSB,PASS
42013,204.9707,204.9727,0.001927,0.49 LSB,PASS
42014,204.9732,204.9727,0.000513,0.13 LSB,PASS
42015,204.9756,204.9766,0.000954,0.24 LSB,PASS
42016,204.978,204.9766,0.001485,0.38 LSB,PASS
42017,204.9805,204.9805,0.000018,0.00 LSB,PASS
42018,204.9829,204.9844,0.001449,0.37 LSB,PASS
42019,204.9854,204.9844,0.00099,0.25 LSB,PASS
42020,204.9878,204.9883,0.000477,0.12 LSB,PASS
42021,204.9902,204.9922,0.001944,0.50 LSB,PASS
42022,204.9927,204.9922,0.000495,0.13 LSB,PASS
42023,204.9951,204.9961,0.000972,0.25 LSB,PASS
42024,204.9976,204.9961,0.001467,0.38 LSB,PASS
42025,205,205,0,0.00 LSB,PASS
42026,205.0024,205.0039,0.001467,0.38 LSB,PASS
42027,205.0049,205.0039,0.000972,0.25 LSB,PASS
42028,205.0073,205.0078,0.000496,0.13 LSB,PASS
42029,205.0098,205.0117,0.001963,0.50 LSB,PASS
