Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
10847,104.1489,104.1484,0.000494,0.13 LSB,PASS
10848,104.1537,104.1523,0.001389,0.36 LSB,PASS
10849,104.1585,104.1602,0.001623,0.42 LSB,PASS
10850,104.1633,104.1641,0.000729,0.19 LSB,PASS
10851,104.1681,104.168,0.000165,0.04 LSB,PASS
10852,104.1729,104.1719,0.001058,0.27 LSB,PASS
10853,104.1777,104.1797,0.001955,0.50 LSB,PASS
10854,104.1825,104.1836,0.001062,0.27 LSB,PASS
10855,104.1873,104.1875,0.000169,0.04 LSB,PASS
10856,104.1921,104.1914,0.000724,0.19 LSB,PASS
10857,104.1969,104.1953,0.001616,0.41 LSB,PASS
10858,104.2017,104.2031,0.001398,0.36 LSB,PASS
10859,104.2065,104.207,0.000506,0.13 LSB,PASS
10860,104.2113,104.2109,0.000386,0.10 LSB,PASS
10861,104.2161,104.2148,0.001278,0.33 LSB,PASS
10862,104.2209,104.2227,0.001737,0.44 LSB,PASS
10863,104.2257,104.2266,0.000846,0.22 LSB,PASS
10864,104.2305,104.2305,0.000045,0.01 LSB,PASS
10865,104.2353,104.2344,0.000936,0.24 LSB,PASS
10866,104.2401,104.2383,0.001826,0.47 LSB,PASS
10867,104.2449,104.2461,0.00119,0.30 LSB,PASS
10868,104.2497,104.25,0.0003,0.08 LSB,PASS
10869,104.2545,104.2539,0.00059,0.15 LSB,PASS
10870,104.2593,104.2578,0.00148,0.38 LSB,PASS
10871,104.2641,104.2656,0.001537,0.39 LSB,PASS
10872,104.2689,104.2695,0.000648,0.17 LSB,PASS
10873,104.2737,104.2734,0.000241,0.06 LSB,PASS
10874,104.2785,104.2773,0.00113,0.29 LSB,PASS
10875,104.2833,104.2852,0.001888,0.48 LSB,PASS
10876,104.2881,104.2891,0.001,0.26 LSB,PASS
10877,104.2929,104.293,0.000112,0.03 LSB,PASS
10878,104.2977,104.2969,0.000776,0.20 LSB,PASS
10879,104.3024,104.3008,0.001664,0.43 LSB,PASS
10880,104.3072,104.3086,0.001355,0.35 LSB,PASS
10881,104.312,104.3125,0.000468,0.12 LSB,PASS
10882,104.3168,104.3164,0.000419,0.11 LSB,PASS
10883,104.3216,104.3203,0.001306,0.33 LSB,PASS
10884,104.3264,104.3281,0.001714,0.44 LSB,PASS
10885,104.3312,104.332,0.000828,0.21 LSB,PASS
10886,104.336,104.3359,0.000058,0.01 LSB,PASS
10887,104.3408,104.3398,0.000944,0.24 LSB,PASS
10888,104.3456,104.3438,0.00183,0.47 LSB,PASS
10889,104.3504,104.3516,0.001191,0.30 LSB,PASS
10890,104.3552,104.3555,0.000306,0.08 LSB,PASS
10891,104.36,104.3594,0.000579,0.15 LSB,PASS
10892,104.3647,104.3633,0.001464,0.37 LSB,PASS
10893,104.3695,104.3711,0.001558,0.40 LSB,PASS
10894,104.3743,104.375,0.000674,0.17 LSB,PASS
10895,104.3791,104.3789,0.00021,0.05 LSB,PASS
10896,104.3839,104.3828,0.001094,0.28 LSB,PASS
10897,104.3887,104.3906,0.001928,0.49 LSB,PASS
10898,104.3935,104.3945,0.001045,0.27 LSB,PASS
10899,104.3983,104.3984,0.000162,0.04 LSB,PASS
10900,104.4031,104.4023,0.000721,0.18 LSB,PASS
10901,104.4079,104.4062,0.001604,0.41 LSB,PASS
10902,104.4126,104.4141,0.00142,0.36 LSB,PASS
10903,104.4174,104.418,0.000537,0.14 LSB,PASS
10904,104.4222,104.4219,0.000345,0.09 LSB,PASS
10905,104.427,104.4258,0.001227,0.31 LSB,PASS
10906,104.4318,104.4336,0.001798,0.46 LSB,PASS
10907,104.4366,104.4375,0.000916,0.23 LSB,PASS
10908,104.4414,104.4414,0.000035,0.01 LSB,PASS
10909,104.4462,104.4453,0.000846,0.22 LSB,PASS
10910,104.4509,104.4492,0.001727,0.44 LSB,PASS
10911,104.4557,104.457,0.001299,0.33 LSB,PASS
10912,104.4605,104.4609,0.000419,0.11 LSB,PASS
10913,104.4653,104.4648,0.000461,0.12 LSB,PASS
10914,104.4701,104.4688,0.001341,0.34 LSB,PASS
10915,104.4749,104.4766,0.001685,0.43 LSB,PASS
10916,104.4797,104.4805,0.000806,0.21 LSB,PASS
10917,104.4844,104.4844,0.000074,0.02 LSB,PASS
10918,104.4892,104.4883,0.000953,0.24 LSB,PASS
10919,104.494,104.4922,0.001831,0.47 LSB,PASS
10920,104.4988,104.5,0.001196,0.31 LSB,PASS
10921,104.5036,104.5039,0.000318,0.08 LSB,PASS
10922,104.5084,104.5078,0.00056,0.14 LSB,PASS
10923,104.5132,104.5117,0.001438,0.37 LSB,PASS
10924,104.5179,104.5195,0.00159,0.41 LSB,PASS
10925,104.5227,104.5234,0.000713,0.18 LSB,PASS
10926,104.5275,104.5273,0.000165,0.04 LSB,PASS
10927,104.5323,104.5312,0.001042,0.27 LSB,PASS
10928,104.5371,104.5391,0.001988,0.51 LSB,PASS
10929,104.5419,104.543,0.001111,0.28 LSB,PASS
10930,104.5466,104.5469,0.000235,0.06 LSB,PASS
10931,104.5514,104.5508,0.000642,0.16 LSB,PASS
10932,104.5562,104.5547,0.001517,0.39 LSB,PASS
10933,104.561,104.5625,0.001513,0.39 LSB,PASS
10934,104.5658,104.5664,0.000637,0.16 LSB,PASS
10935,104.5706,104.5703,0.000238,0.06 LSB,PASS
10936,104.5753,104.5742,0.001113,0.28 LSB,PASS
10937,104.5801,104.582,0.001918,0.49 LSB,PASS
10938,104.5849,104.5859,0.001044,0.27 LSB,PASS
10939,104.5897,104.5898,0.000169,0.04 LSB,PASS
10940,104.5945,104.5938,0.000705,0.18 LSB,PASS
10941,104.5992,104.5977,0.001579,0.40 LSB,PASS
10942,104.604,104.6055,0.001454,0.37 LSB,PASS
10943,104.6088,104.6094,0.00058,0.15 LSB,PASS
10944,104.6136,104.6133,0.000293,0.08 LSB,PASS
10945,104.6184,104.6172,0.001167,0.30 LSB,PASS
10946,104.6231,104.625,0.001867,0.48 LSB,PASS
10947,104.6279,104.6289,0.000994,0.25 LSB,PASS
10948,104.6327,104.6328,0.000122,0.03 LSB,PASS
10949,104.6375,104.6367,0.000751,0.19 LSB,PASS
10950,104.6422,104.6406,0.001623,0.42 LSB,PASS
10951,104.647,104.6484,0.001412,0.36 LSB,PASS
10952,104.6518,104.6523,0.00054,0.14 LSB,PASS
10953,104.6566,104.6562,0.000331,0.08 LSB,PASS
10954,104.6614,104.6602,0.001202,0.31 LSB,PASS
10955,104.6661,104.668,0.001833,0.47 LSB,PASS
10956,104.6709,104.6719,0.000962,0.25 LSB,PASS
10957,104.6757,104.6758,0.000092,0.02 LSB,PASS
10958,104.6805,104.6797,0.000779,0.20 LSB,PASS
10959,104.6852,104.6836,0.001649,0.42 LSB,PASS
10960,104.69,104.6914,0.001388,0.36 LSB,PASS
10961,104.6948,104.6953,0.000518,0.13 LSB,PASS
10962,104.6996,104.6992,0.000351,0.09 LSB,PASS
10963,104.7043,104.7031,0.001221,0.31 LSB,PASS
10964,104.7091,104.7109,0.001817,0.47 LSB,PASS
10965,104.7139,104.7148,0.000948,0.24 LSB,PASS
10966,104.7187,104.7188,0.000079,0.02 LSB,PASS
10967,104.7234,104.7227,0.000789,0.20 LSB,PASS
10968,104.7282,104.7266,0.001657,0.42 LSB,PASS
10969,104.733,104.7344,0.001381,0.35 LSB,PASS
10970,104.7378,104.7383,0.000513,0.13 LSB,PASS
10971,104.7425,104.7422,0.000354,0.09 LSB,PASS
10972,104.7473,104.7461,0.001221,0.31 LSB,PASS
10973,104.7521,104.7539,0.001818,0.47 LSB,PASS
10974,104.7569,104.7578,0.000951,0.24 LSB,PASS
10975,104.7616,104.7617,0.000085,0.02 LSB,PASS
10976,104.7664,104.7656,0.000782,0.20 LSB,PASS
10977,104.7712,104.7695,0.001648,0.42 LSB,PASS
10978,104.776,104.7773,0.001392,0.36 LSB,PASS
10979,104.7807,104.7812,0.000527,0.13 LSB,PASS
10980,104.7855,104.7852,0.000339,0.09 LSB,PASS
10981,104.7903,104.7891,0.001204,0.31 LSB,PASS
10982,104.795,104.7969,0.001837,0.47 LSB,PASS
10983,104.7998,104.8008,0.000972,0.25 LSB,PASS
10984,104.8046,104.8047,0.000107,0.03 LSB,PASS
10985,104.8094,104.8086,0.000757,0.19 LSB,PASS
10986,104.8141,104.8125,0.001621,0.42 LSB,PASS
10987,104.8189,104.8203,0.001421,0.36 LSB,PASS
10988,104.8237,104.8242,0.000557,0.14 LSB,PASS
10989,104.8284,104.8281,0.000306,0.08 LSB,PASS
10990,104.8332,104.832,0.00117,0.30 LSB,PASS
10991,104.838,104.8398,0.001874,0.48 LSB,PASS
10992,104.8427,104.8438,0.001011,0.26 LSB,PASS
10993,104.8475,104.8477,0.000148,0.04 LSB,PASS
10994,104.8523,104.8516,0.000715,0.18 LSB,PASS
10995,104.857,104.8555,0.001577,0.40 LSB,PASS
10996,104.8618,104.8633,0.001467,0.38 LSB,PASS
10997,104.8666,104.8672,0.000606,0.16 LSB,PASS
10998,104.8713,104.8711,0.000256,0.07 LSB,PASS
10999,104.8761,104.875,0.001117,0.29 LSB,PASS
11000,104.8809,104.8828,0.001928,0.49 LSB,PASS
11001,104.8857,104.8867,0.001067,0.27 LSB,PASS
11002,104.8904,104.8906,0.000206,0.05 LSB,PASS
11003,104.8952,104.8945,0.000655,0.17 LSB,PASS
11004,104.9,104.8984,0.001515,0.39 LSB,PASS
11005,104.9047,104.9062,0.001531,0.39 LSB,PASS
11006,104.9095,104.9102,0.000671,0.17 LSB,PASS
11007,104.9143,104.9141,0.000188,0.05 LSB,PASS
11008,104.919,104.918,0.001048,0.27 LSB,PASS
11009,104.9238,104.9258,0.001999,0.51 LSB,PASS
11010,104.9285,104.9297,0.00114,0.29 LSB,PASS
11011,104.9333,104.9336,0.000282,0.07 LSB,PASS
11012,104.9381,104.9375,0.000577,0.15 LSB,PASS
11013,104.9428,104.9414,0.001435,0.37 LSB,PASS
11014,104.9476,104.9492,0.001613,0.41 LSB,PASS
11015,104.9524,104.9531,0.000755,0.19 LSB,PASS
11016,104.9571,104.957,0.000103,0.03 LSB,PASS
11017,104.9619,104.9609,0.00096,0.25 LSB,PASS
11018,104.9667,104.9648,0.001818,0.47 LSB,PASS
11019,104.9714,104.9727,0.001232,0.32 LSB,PASS
11020,104.9762,104.9766,0.000375,0.10 LSB,PASS
11021,104.981,104.9805,0.000482,0.12 LSB,PASS
11022,104.9857,104.9844,0.001338,0.34 LSB,PASS
11023,104.9905,104.9922,0.001712,0.44 LSB,PASS
11024,104.9952,104.9961,0.000856,0.22 LSB,PASS
11025,105,105,0,0.00 LSB,PASS
11026,105.0048,105.0039,0.000856,0.22 LSB,PASS
11027,105.0095,105.0078,0.001711,0.44 LSB,PASS
11028,105.0143,105.0156,0.00134,0.34 LSB,PASS
11029,105.019,105.0195,0.000485,0.12 LSB,PASS
11030,105.0238,105.0234,0.000369,0.09 LSB,PASS
11031,105.0286,105.0273,0.001224,0.31 LSB,PASS
11032,105.0333,105.0352,0.001828,0.47 LSB,PASS
11033,105.0381,105.0391,0.000974,0.25 LSB,PASS
11034,105.0428,105.043,0.00012,0.03 LSB,PASS
11035,105.0476,105.0469,0.000733,0.19 LSB,PASS
11036,105.0524,105.0508,0.001587,0.41 LSB,PASS
11037,105.0571,105.0586,0.001466,0.38 LSB,PASS
11038,105.0619,105.0625,0.000613,0.16 LSB,PASS
11039,105.0666,105.0664,0.000239,0.06 LSB,PASS
11040,105.0714,105.0703,0.001092,0.28 LSB,PASS
11041,105.0762,105.0781,0.001962,0.50 LSB,PASS
11042,105.0809,105.082,0.00111,0.28 LSB,PASS
11043,105.0857,105.0859,0.000258,0.07 LSB,PASS
11044,105.0904,105.0898,0.000593,0.15 LSB,PASS
11045,105.0952,105.0938,0.001445,0.37 LSB,PASS
11046,105.1,105.1016,0.00161,0.41 LSB,PASS
11047,105.1047,105.1055,0.000759,0.19 LSB,PASS
11048,105.1095,105.1094,0.000092,0.02 LSB,PASS
11049,105.1142,105.1133,0.000942,0.24 LSB,PASS
11050,105.119,105.1172,0.001793,0.46 LSB,PASS
11051,105.1237,105.125,0.001263,0.32 LSB,PASS
11052,105.1285,105.1289,0.000413,0.11 LSB,PASS
11053,105.1332,105.1328,0.000436,0.11 LSB,PASS
11054,105.138,105.1367,0.001286,0.33 LSB,PASS
11055,105.1428,105.1445,0.001771,0.45 LSB,PASS
11056,105.1475,105.1484,0.000922,0.24 LSB,PASS
11057,105.1523,105.1523,0.000073,0.02 LSB,PASS
11058,105.157,105.1562,0.000775,0.20 LSB,PASS
11059,105.1618,105.1602,0.001624,0.42 LSB,PASS
11060,105.1665,105.168,0.001434,0.37 LSB,PASS
11061,105.1713,105.1719,0.000586,0.15 LSB,PASS
11062,105.176,105.1758,0.000262,0.07 LSB,PASS
11063,105.1808,105.1797,0.001109,0.28 LSB,PASS
11064,105.1856,105.1875,0.00195,0.50 LSB,PASS
11065,105.1903,105.1914,0.001103,0.28 LSB,PASS
11066,105.1951,105.1953,0.000256,0.07 LSB,PASS
11067,105.1998,105.1992,0.000591,0.15 LSB,PASS
11068,105.2046,105.2031,0.001438,0.37 LSB,PASS
11069,105.2093,105.2109,0.001622,0.42 LSB,PASS
11070,105.2141,105.2148,0.000776,0.20 LSB,PASS
11071,105.2188,105.2188,0.00007,0.02 LSB,PASS
11072,105.2236,105.2227,0.000915,0.23 LSB,PASS
11073,105.2283,105.2266,0.001761,0.45 LSB,PASS
11074,105.2331,105.2344,0.0013,0.33 LSB,PASS
11075,105.2378,105.2383,0.000455,0.12 LSB,PASS
11076,105.2426,105.2422,0.000389,0.10 LSB,PASS
11077,105.2473,105.2461,0.001234,0.32 LSB,PASS
11078,105.2521,105.2539,0.001828,0.47 LSB,PASS
11079,105.2568,105.2578,0.000984,0.25 LSB,PASS
11080,105.2616,105.2617,0.00014,0.04 LSB,PASS
11081,105.2663,105.2656,0.000704,0.18 LSB,PASS
11082,105.2711,105.2695,0.001547,0.40 LSB,PASS
11083,105.2758,105.2773,0.001516,0.39 LSB,PASS
11084,105.2806,105.2812,0.000672,0.17 LSB,PASS
11085,105.2853,105.2852,0.00017,0.04 LSB,PASS
11086,105.2901,105.2891,0.001013,0.26 LSB,PASS
11087,105.2948,105.2969,0.002051,0.53 LSB,PASS
11088,105.2996,105.3008,0.001209,0.31 LSB,PASS
11089,105.3043,105.3047,0.000367,0.09 LSB,PASS
11090,105.3091,105.3086,0.000475,0.12 LSB,PASS
11091,105.3138,105.3125,0.001317,0.34 LSB,PASS
11092,105.3186,105.3203,0.001748,0.45 LSB,PASS
11093,105.3233,105.3242,0.000907,0.23 LSB,PASS
11094,105.3281,105.3281,0.000066,0.02 LSB,PASS
11095,105.3328,105.332,0.000775,0.20 LSB,PASS
11096,105.3376,105.3359,0.001615,0.41 LSB,PASS
11097,105.3423,105.3438,0.001451,0.37 LSB,PASS
11098,105.347,105.3477,0.000611,0.16 LSB,PASS
11099,105.3518,105.3516,0.000229,0.06 LSB,PASS
11100,105.3565,105.3555,0.001069,0.27 LSB,PASS
11101,105.3613,105.3633,0.001998,0.51 LSB,PASS
11102,105.366,105.3672,0.001159,0.30 LSB,PASS
11103,105.3708,105.3711,0.00032,0.08 LSB,PASS
11104,105.3755,105.375,0.000519,0.13 LSB,PASS
11105,105.3803,105.3789,0.001358,0.35 LSB,PASS
11106,105.385,105.3867,0.00171,0.44 LSB,PASS
11107,105.3898,105.3906,0.000872,0.22 LSB,PASS
11108,105.3945,105.3945,0.000034,0.01 LSB,PASS
11109,105.3992,105.3984,0.000803,0.21 LSB,PASS
11110,105.404,105.4023,0.001641,0.42 LSB,PASS
11111,105.4087,105.4102,0.001428,0.37 LSB,PASS
11112,105.4135,105.4141,0.000591,0.15 LSB,PASS
11113,105.4182,105.418,0.000246,0.06 LSB,PASS
11114,105.423,105.4219,0.001083,0.28 LSB,PASS
11115,105.4277,105.4297,0.001987,0.51 LSB,PASS
11116,105.4324,105.4336,0.001151,0.29 LSB,PASS
11117,105.4372,105.4375,0.000315,0.08 LSB,PASS
11118,105.4419,105.4414,0.000521,0.13 LSB,PASS
11119,105.4467,105.4453,0.001356,0.35 LSB,PASS
11120,105.4514,105.4531,0.001714,0.44 LSB,PASS
11121,105.4562,105.457,0.000879,0.23 LSB,PASS
11122,105.4609,105.4609,0.000044,0.01 LSB,PASS
11123,105.4656,105.4648,0.00079,0.20 LSB,PASS
11124,105.4704,105.4688,0.001625,0.42 LSB,PASS
11125,105.4751,105.4766,0.001447,0.37 LSB,PASS
11126,105.4799,105.4805,0.000613,0.16 LSB,PASS
11127,105.4846,105.4844,0.000221,0.06 LSB,PASS
11128,105.4893,105.4883,0.001055,0.27 LSB,PASS
11129,105.4941,105.4961,0.002018,0.52 LSB,PASS
11130,105.4988,105.5,0.001185,0.30 LSB,PASS
11131,105.5036,105.5039,0.000352,0.09 LSB,PASS
11132,105.5083,105.5078,0.000481,0.12 LSB,PASS
11133,105.513,105.5117,0.001314,0.34 LSB,PASS
11134,105.5178,105.5195,0.00176,0.45 LSB,PASS
11135,105.5225,105.5234,0.000928,0.24 LSB,PASS
11136,105.5272,105.5273,0.000096,0.02 LSB,PASS
11137,105.532,105.5312,0.000736,0.19 LSB,PASS
11138,105.5367,105.5352,0.001567,0.40 LSB,PASS
11139,105.5415,105.543,0.001508,0.39 LSB,PASS
11140,105.5462,105.5469,0.000677,0.17 LSB,PASS
11141,105.5509,105.5508,0.000154,0.04 LSB,PASS
11142,105.5557,105.5547,0.000985,0.25 LSB,PASS
11143,105.5604,105.5586,0.001815,0.46 LSB,PASS
11144,105.5651,105.5664,0.00126,0.32 LSB,PASS
11145,105.5699,105.5703,0.00043,0.11 LSB,PASS
11146,105.5746,105.5742,0.000399,0.10 LSB,PASS
11147,105.5794,105.5781,0.001229,0.31 LSB,PASS
11148,105.5841,105.5859,0.001848,0.47 LSB,PASS
11149,105.5888,105.5898,0.001019,0.26 LSB,PASS
11150,105.5936,105.5938,0.00019,0.05 LSB,PASS
11151,105.5983,105.5977,0.000639,0.16 LSB,PASS
11152,105.603,105.6016,0.001468,0.38 LSB,PASS
11153,105.6078,105.6094,0.00161,0.41 LSB,PASS
11154,105.6125,105.6133,0.000782,0.20 LSB,PASS
11155,105.6172,105.6172,0.000046,0.01 LSB,PASS
11156,105.622,105.6211,0.000874,0.22 LSB,PASS
11157,105.6267,105.625,0.001701,0.44 LSB,PASS
11158,105.6314,105.6328,0.001378,0.35 LSB,PASS
11159,105.6362,105.6367,0.000551,0.14 LSB,PASS
11160,105.6409,105.6406,0.000276,0.07 LSB,PASS
11161,105.6456,105.6445,0.001103,0.28 LSB,PASS
11162,105.6504,105.6523,0.001977,0.51 LSB,PASS
11163,105.6551,105.6562,0.001151,0.29 LSB,PASS
11164,105.6598,105.6602,0.000325,0.08 LSB,PASS
11165,105.6646,105.6641,0.000501,0.13 LSB,PASS
11166,105.6693,105.668,0.001327,0.34 LSB,PASS
11167,105.674,105.6758,0.001754,0.45 LSB,PASS
11168,105.6788,105.6797,0.000929,0.24 LSB,PASS
11169,105.6835,105.6836,0.000104,0.03 LSB,PASS
11170,105.6882,105.6875,0.000721,0.18 LSB,PASS
11171,105.693,105.6914,0.001545,0.40 LSB,PASS
11172,105.6977,105.6992,0.001537,0.39 LSB,PASS
11173,105.7024,105.7031,0.000713,0.18 LSB,PASS
11174,105.7071,105.707,0.000111,0.03 LSB,PASS
11175,105.7119,105.7109,0.000935,0.24 LSB,PASS
11176,105.7166,105.7148,0.001759,0.45 LSB,PASS
11177,105.7213,105.7227,0.001324,0.34 LSB,PASS
11178,105.7261,105.7266,0.000501,0.13 LSB,PASS
11179,105.7308,105.7305,0.000321,0.08 LSB,PASS
11180,105.7355,105.7344,0.001144,0.29 LSB,PASS
11181,105.7402,105.7422,0.00194,0.50 LSB,PASS
11182,105.745,105.7461,0.001118,0.29 LSB,PASS
11183,105.7497,105.75,0.000296,0.08 LSB,PASS
11184,105.7544,105.7539,0.000526,0.13 LSB,PASS
11185,105.7592,105.7578,0.001348,0.35 LSB,PASS
11186,105.7639,105.7656,0.001737,0.44 LSB,PASS
11187,105.7686,105.7695,0.000916,0.23 LSB,PASS
11188,105.7733,105.7734,0.000095,0.02 LSB,PASS
11189,105.7781,105.7773,0.000726,0.19 LSB,PASS
11190,105.7828,105.7812,0.001546,0.40 LSB,PASS
11191,105.7875,105.7891,0.00154,0.39 LSB,PASS
11192,105.7922,105.793,0.00072,0.18 LSB,PASS
11193,105.797,105.7969,0.0001,0.03 LSB,PASS
11194,105.8017,105.8008,0.00092,0.24 LSB,PASS
11195,105.8064,105.8047,0.00174,0.45 LSB,PASS
11196,105.8112,105.8125,0.001347,0.34 LSB,PASS
11197,105.8159,105.8164,0.000528,0.14 LSB,PASS
11198,105.8206,105.8203,0.00029,0.07 LSB,PASS
11199,105.8253,105.8242,0.001109,0.28 LSB,PASS
11200,105.8301,105.832,0.001979,0.51 LSB,PASS
11201,105.8348,105.8359,0.001161,0.30 LSB,PASS
11202,105.8395,105.8398,0.000343,0.09 LSB,PASS
11203,105.8442,105.8438,0.000475,0.12 LSB,PASS
11204,105.8489,105.8477,0.001293,0.33 LSB,PASS
11205,105.8537,105.8555,0.001796,0.46 LSB,PASS
11206,105.8584,105.8594,0.000979,0.25 LSB,PASS
11207,105.8631,105.8633,0.000162,0.04 LSB,PASS
11208,105.8678,105.8672,0.000655,0.17 LSB,PASS
11209,105.8726,105.8711,0.001471,0.38 LSB,PASS
11210,105.8773,105.8789,0.001619,0.41 LSB,PASS
11211,105.882,105.8828,0.000803,0.21 LSB,PASS
11212,105.8867,105.8867,0.000013,0.00 LSB,PASS
11213,105.8915,105.8906,0.000829,0.21 LSB,PASS
11214,105.8962,105.8945,0.001644,0.42 LSB,PASS
11215,105.9009,105.9023,0.001447,0.37 LSB,PASS
11216,105.9056,105.9062,0.000632,0.16 LSB,PASS
11217,105.9103,105.9102,0.000183,0.05 LSB,PASS
11218,105.9151,105.9141,0.000998,0.26 LSB,PASS
11219,105.9198,105.918,0.001812,0.46 LSB,PASS
11220,105.9245,105.9258,0.00128,0.33 LSB,PASS
11221,105.9292,105.9297,0.000466,0.12 LSB,PASS
11222,105.9339,105.9336,0.000348,0.09 LSB,PASS
11223,105.9387,105.9375,0.001161,0.30 LSB,PASS
11224,105.9434,105.9453,0.001931,0.49 LSB,PASS
11225,105.9481,105.9492,0.001118,0.29 LSB,PASS
11226,105.9528,105.9531,0.000305,0.08 LSB,PASS
11227,105.9575,105.957,0.000507,0.13 LSB,PASS
11228,105.9623,105.9609,0.00132,0.34 LSB,PASS
11229,105.967,105.9688,0.001774,0.45 LSB,PASS
11230,105.9717,105.9727,0.000962,0.25 LSB,PASS
11231,105.9764,105.9766,0.00015,0.04 LSB,PASS
11232,105.9811,105.9805,0.000662,0.17 LSB,PASS
11233,105.9858,105.9844,0.001473,0.38 LSB,PASS
11234,105.9906,105.9922,0.001622,0.42 LSB,PASS
11235,105.9953,105.9961,0.000811,0.21 LSB,PASS
11236,106,106,0,0.00 LSB,PASS
11237,106.0047,106.0039,0.000811,0.21 LSB,PASS
11238,106.0094,106.0078,0.001621,0.41 LSB,PASS
11239,106.0141,106.0156,0.001475,0.38 LSB,PASS
11240,106.0189,106.0195,0.000665,0.17 LSB,PASS
11241,106.0236,106.0234,0.000145,0.04 LSB,PASS
11242,106.0283,106.0273,0.000954,0.24 LSB,PASS
11243,106.033,106.0312,0.001764,0.45 LSB,PASS
11244,106.0377,106.0391,0.001333,0.34 LSB,PASS
11245,106.0424,106.043,0.000524,0.13 LSB,PASS
11246,106.0472,106.0469,0.000284,0.07 LSB,PASS
11247,106.0519,106.0508,0.001093,0.28 LSB,PASS
11248,106.0566,106.0586,0.002005,0.51 LSB,PASS
11249,106.0613,106.0625,0.001197,0.31 LSB,PASS
11250,106.066,106.0664,0.000389,0.10 LSB,PASS
11251,106.0707,106.0703,0.000419,0.11 LSB,PASS
11252,106.0754,106.0742,0.001226,0.31 LSB,PASS
11253,106.0802,106.082,0.001873,0.48 LSB,PASS
11254,106.0849,106.0859,0.001066,0.27 LSB,PASS
11255,106.0896,106.0898,0.000259,0.07 LSB,PASS
11256,106.0943,106.0938,0.000548,0.14 LSB,PASS
11257,106.099,106.0977,0.001354,0.35 LSB,PASS
11258,106.1037,106.1055,0.001746,0.45 LSB,PASS
11259,106.1084,106.1094,0.00094,0.24 LSB,PASS
11260,106.1131,106.1133,0.000134,0.03 LSB,PASS
11261,106.1179,106.1172,0.000672,0.17 LSB,PASS
11262,106.1226,106.1211,0.001477,0.38 LSB,PASS
11263,106.1273,106.1289,0.001624,0.42 LSB,PASS
11264,106.132,106.1328,0.000819,0.21 LSB,PASS
11265,106.1367,106.1367,0.000014,0.00 LSB,PASS
11266,106.1414,106.1406,0.00079,0.20 LSB,PASS
11267,106.1461,106.1445,0.001594,0.41 LSB,PASS
11268,106.1508,106.1523,0.001508,0.39 LSB,PASS
11269,106.1555,106.1562,0.000704,0.18 LSB,PASS
11270,106.1603,106.1602,0.0001,0.03 LSB,PASS
11271,106.165,106.1641,0.000903,0.23 LSB,PASS
11272,106.1697,106.168,0.001707,0.44 LSB,PASS
11273,106.1744,106.1758,0.001396,0.36 LSB,PASS
11274,106.1791,106.1797,0.000594,0.15 LSB,PASS
11275,106.1838,106.1836,0.000209,0.05 LSB,PASS
11276,106.1885,106.1875,0.001012,0.26 LSB,PASS
11277,106.1932,106.1914,0.001814,0.46 LSB,PASS
11278,106.1979,106.1992,0.00129,0.33 LSB,PASS
11279,106.2026,106.2031,0.000488,0.13 LSB,PASS
11280,106.2073,106.207,0.000313,0.08 LSB,PASS
11281,106.2121,106.2109,0.001115,0.29 LSB,PASS
11282,106.2168,106.2188,0.00199,0.51 LSB,PASS
11283,106.2215,106.2227,0.001189,0.30 LSB,PASS
11284,106.2262,106.2266,0.000389,0.10 LSB,PASS
11285,106.2309,106.2305,0.000412,0.11 LSB,PASS
11286,106.2356,106.2344,0.001212,0.31 LSB,PASS
11287,106.2403,106.2422,0.001894,0.48 LSB,PASS
11288,106.245,106.2461,0.001094,0.28 LSB,PASS
11289,106.2497,106.25,0.000294,0.08 LSB,PASS
11290,106.2544,106.2539,0.000505,0.13 LSB,PASS
11291,106.2591,106.2578,0.001305,0.33 LSB,PASS
11292,106.2638,106.2656,0.001802,0.46 LSB,PASS
11293,106.2685,106.2695,0.001003,0.26 LSB,PASS
11294,106.2732,106.2734,0.000205,0.05 LSB,PASS
11295,106.2779,106.2773,0.000594,0.15 LSB,PASS
11296,106.2826,106.2812,0.001392,0.36 LSB,PASS
11297,106.2873,106.2891,0.001716,0.44 LSB,PASS
11298,106.2921,106.293,0.000918,0.24 LSB,PASS
11299,106.2968,106.2969,0.000121,0.03 LSB,PASS
11300,106.3015,106.3008,0.000677,0.17 LSB,PASS
11301,106.3062,106.3047,0.001474,0.38 LSB,PASS
11302,106.3109,106.3125,0.001635,0.42 LSB,PASS
11303,106.3156,106.3164,0.000838,0.21 LSB,PASS
11304,106.3203,106.3203,0.000042,0.01 LSB,PASS
11305,106.325,106.3242,0.000755,0.19 LSB,PASS
11306,106.3297,106.3281,0.001551,0.40 LSB,PASS
11307,106.3344,106.3359,0.001559,0.40 LSB,PASS
11308,106.3391,106.3398,0.000763,0.20 LSB,PASS
11309,106.3438,106.3438,0.000032,0.01 LSB,PASS
11310,106.3485,106.3477,0.000828,0.21 LSB,PASS
11311,106.3532,106.3516,0.001623,0.42 LSB,PASS
11312,106.3579,106.3594,0.001489,0.38 LSB,PASS
11313,106.3626,106.3633,0.000694,0.18 LSB,PASS
11314,106.3673,106.3672,0.000101,0.03 LSB,PASS
